date,AAPL_value,AAPL_shares,MSFT_value,MSFT_shares,JPM_value,JPM_shares,XOM_value,XOM_shares,JNJ_value,JNJ_shares,total_value,returns,cumulative_returns
2015-06-12,20020.46599496222,157.43073047858942,19323.24506094998,420.34468263976464,22391.732283464567,328.0839895013123,20000.0,0.0,20000.0,0.0,101735.44333937677,-0.004985041998154194,1.0173544333937674
2015-06-15,19981.10831234257,157.43073047858942,19115.1744430433,420.34468263976464,22306.430446194223,328.0839895013123,20000.0,0.0,20000.0,0.0,101402.71320158009,-0.003270542958040079,1.0140271320158005
2015-06-16,20088.16120906801,157.43073047858942,19264.396805380413,420.34468263976464,22431.102362204725,328.0839895013123,20000.0,0.0,20000.0,0.0,101783.66037665315,0.0037567749722413613,1.0178366037665312
2015-06-17,20040.931989924433,157.43073047858942,19323.24506094998,420.34468263976464,22355.64304461942,328.0839895013123,20000.0,0.0,20000.0,0.0,101719.82009549384,-0.0006272154186935941,1.017198200954938
2015-06-18,20132.241813602013,157.43073047858942,19638.503572929803,420.34468263976464,22565.61679790026,328.0839895013123,20000.0,0.0,20000.0,0.0,102336.36218443207,0.006061179506210657,1.0233636218443205
2015-06-19,19930.73047858942,157.43073047858942,19377.88986969315,420.34468263976464,22335.95800524934,328.0839895013123,20000.0,0.0,20000.0,0.0,101644.5783535319,-0.006759902503212123,1.016445783535319
2015-06-22,20089.735516372795,157.43073047858942,19432.534678436317,420.34468263976464,22624.671916010495,328.0839895013123,20000.0,0.0,20000.0,0.0,102146.94211081961,0.00494235664533349,1.0214694211081958
2015-06-23,19998.425692695215,157.43073047858942,19298.02437999159,420.34468263976464,22883.858267716532,328.0839895013123,20000.0,0.0,20000.0,0.0,102180.30834040334,0.00032664932394665946,1.021803083404033
2015-06-24,20168.450881612094,157.43073047858942,19182.42959226566,420.34468263976464,22644.356955380576,328.0839895013123,20000.0,0.0,20000.0,0.0,101995.23742925833,-0.0018112189535430812,1.019952374292583
2015-06-25,20072.41813602015,157.43073047858942,19188.734762505257,420.34468263976464,22522.96587926509,328.0839895013123,20000.0,0.0,20000.0,0.0,101784.1187777905,-0.0020698873475759605,1.0178411877779046
2015-06-26,19954.345088161208,157.43073047858942,19024.800336275748,420.34468263976464,22621.391076115484,328.0839895013123,20000.0,0.0,20000.0,0.0,101600.53650055244,-0.0018036436277337753,1.0160053650055239
2015-06-29,19604.84886649874,157.43073047858942,18650.693568726358,420.34468263976464,22047.24409448819,328.0839895013123,20000.0,0.0,20000.0,0.0,100302.78652971328,-0.012773062185868489,1.0030278652971323
2015-06-30,19745.749370277077,157.43073047858942,18558.21773854561,420.34468263976464,22230.971128608926,328.0839895013123,20000.0,0.0,20000.0,0.0,100534.93823743162,0.0023145090555343195,1.0053493823743158
2015-07-01,19930.73047858942,157.43073047858942,18682.21941992434,420.34468263976464,22332.677165354326,328.0839895013123,20000.0,0.0,20000.0,0.0,100945.62706386809,0.004085035845613705,1.0094562706386805
2015-07-02,19905.541561712846,157.43073047858942,18663.303909205548,420.34468263976464,22152.230971128607,328.0839895013123,20000.0,0.0,20000.0,0.0,100721.076442047,-0.0022244710182346417,1.0072107644204695
2015-07-06,19836.27204030227,157.43073047858942,18659.100462379152,420.34468263976464,22089.895013123358,328.0839895013123,20000.0,0.0,20000.0,0.0,100585.26751580478,-0.0013483665091720276,1.0058526751580474
2015-07-07,19787.468513853906,157.43073047858942,18621.26944094157,420.34468263976464,21916.01049868766,328.0839895013123,20000.0,0.0,20000.0,0.0,100324.74845348313,-0.0025900320072291816,1.003247484534831
2015-07-08,19296.284634760705,157.43073047858942,18596.04875998319,420.34468263976464,21466.53543307087,328.0839895013123,20000.0,0.0,20000.0,0.0,99358.86882781476,-0.009627530998656986,0.9935886882781472
2015-07-09,18902.70780856423,157.43073047858942,18713.745271122323,420.34468263976464,21689.632545931756,328.0839895013123,20000.0,0.0,20000.0,0.0,99306.08562561832,-0.0005312379540866052,0.9930608562561827
2015-07-10,19408.060453400503,157.43073047858942,18751.5762925599,420.34468263976464,21998.03149606299,328.0839895013123,20000.0,0.0,20000.0,0.0,100157.6682420234,0.008575331622832527,1.0015766824202335
2015-07-13,19782.745591939547,157.43073047858942,19142.49684741488,420.34468263976464,22339.23884514436,328.0839895013123,20000.0,0.0,20000.0,0.0,101264.48128449879,0.011050706969344182,1.0126448128449874
2015-07-14,19774.874055415617,157.43073047858942,19176.124422026063,420.34468263976464,22650.918635170605,328.0839895013123,20000.0,0.0,20000.0,0.0,101601.91711261228,0.003332222945629626,1.0160191711261224
2015-07-15,19965.36523929471,157.43073047858942,19234.97267759563,420.34468263976464,22700.1312335958,328.0839895013123,20000.0,0.0,20000.0,0.0,101900.46915048614,0.0029384488635479933,1.019004691504861
2015-07-16,20231.42159949622,157.43073047858942,19613.282891971416,420.34468263976464,22821.522309711287,328.0839895013123,20000.0,0.0,20000.0,0.0,102666.22680117893,0.00751476079626201,1.0266622680117887
2015-07-17,20406.171284634762,157.43073047858942,19596.469104665826,420.34468263976464,22706.692913385825,328.0839895013123,20000.0,0.0,20000.0,0.0,102709.33330268641,0.00041987032007084757,1.0270933330268635
2015-07-20,20791.87814861461,157.43073047858942,19722.572509457757,420.34468263976464,22723.097112860894,328.0839895013123,20000.0,0.0,20000.0,0.0,103237.54777093326,0.005142808849612379,1.032375477709332
2015-07-21,20584.068010075567,157.43073047858942,19873.896595208073,420.34468263976464,22670.60367454068,328.0839895013123,20000.0,0.0,20000.0,0.0,103128.56827982432,-0.0010556187497861025,1.0312856827982426
2015-07-22,19713.476070528966,157.43073047858942,19142.49684741488,420.34468263976464,22992.125984251965,328.0839895013123,20000.0,0.0,20000.0,0.0,101848.09890219581,-0.012416243132108096,1.0184809890219575
2015-07-23,19704.03022670025,157.43073047858942,19382.093316519546,420.34468263976464,22847.76902887139,328.0839895013123,20000.0,0.0,20000.0,0.0,101933.8925720912,0.0008423688887679859,1.0193389257209113
2015-07-24,19600.125944584383,157.43073047858942,19310.634720470785,420.34468263976464,22608.26771653543,328.0839895013123,20000.0,0.0,20000.0,0.0,101519.0283815906,-0.004069933758363953,1.0151902838159053
