date,permno,ticker,comnam,namedt,nameendt,prc,vol,ret
2024-08-19,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,529.28003,9792410.0,0.003527
2024-08-16,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.77,117319.0,0.007098
2024-08-16,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,527.41998,14728374.0,-0.018443
2024-08-15,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,537.33002,13351444.0,0.020066
2024-08-15,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.68,87059.0,0.018474
2024-08-14,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.45,74481.0,-0.004796
2024-08-14,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,526.76001,11376055.0,-0.003368
2024-08-13,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,528.53998,13718930.0,0.024402
2024-08-13,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.51,185974.0,0.027938
2024-08-12,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.17,154133.0,0.002471
2024-08-12,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,515.95001,9672072.0,-0.003515
2024-08-09,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,517.77002,13604677.0,0.015972
2024-08-09,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.14,123489.0,0.010824
2024-08-08,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,509.63,16035291.0,0.042359
2024-08-08,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.01,126972.0,0.036238
2024-08-07,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,11.59,230749.0,-0.012777
2024-08-07,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,488.92001,19793283.0,-0.010464
2024-08-06,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,494.09,20753121.0,0.038593
2024-08-06,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,11.74,339216.0,-0.002549
2024-08-05,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,11.77,558599.0,-0.032072
2024-08-05,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,475.73001,21197295.0,-0.025423
2024-08-02,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.16,316659.0,-0.031847
2024-08-02,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,488.14001,23774173.0,-0.019287
2024-08-01,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.56,156820.0,-0.03533
2024-08-01,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,497.73999,42570763.0,0.048249
2024-07-31,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,474.82999,23831442.0,0.02513
2024-07-31,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.02,156108.0,0.02439
2024-07-30,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.71,296387.0,-0.00858
2024-07-30,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,463.19,11278825.0,-0.005411
2024-07-29,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.82,207070.0,-0.001558
2024-07-29,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,465.70999,11160332.0,2.1e-05
2024-07-26,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,465.70001,14088831.0,0.027106
2024-07-26,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.84,196377.0,0.012618
2024-07-25,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.68,368294.0,-0.01092
2024-07-25,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,453.41,18045672.0,-0.01704
2024-07-24,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,461.26999,17504839.0,-0.056109
2024-07-24,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.82,168552.0,-0.033911
2024-07-23,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,488.69,9359551.0,0.002647
