date,permno,ticker,comnam,prc,vol,ret,retx
2008-02-06,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,58.18000,15526200,-0.027416,-0.027416
2008-02-05,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,12.02000,34200,-0.004142,-0.004142
2008-02-05,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,59.82000,15263900,-0.062676,-0.062676
2008-02-04,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,63.82000,10370600,-0.033030,-0.033030
2008-02-04,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,12.07000,24900,-0.001654,-0.001654
2008-02-01,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,12.09000,49600,0.006661,0.006661
2008-02-01,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,66.00000,17823300,0.030445,0.030445
2008-01-31,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,12.01000,55500,0.000833,0.000833
2008-01-31,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,64.05000,21190000,0.023327,0.023327
2008-01-30,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,62.59000,23821800,0.000960,0.000960
2008-01-30,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,12.00000,21100,0.008403,0.008403
2008-01-29,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,62.53000,12074100,0.031338,0.031338
2008-01-29,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.90000,20900,0.013629,0.013629
2008-01-28,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,60.63000,12174800,0.047693,0.047693
2008-01-28,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.74000,75900,0.007725,0.007725
2008-01-25,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,57.87000,14005500,-0.028375,-0.028375
2008-01-25,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.65000,52000,0.003445,0.003445
2008-01-24,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,59.56000,17541100,0.010176,0.010176
2008-01-24,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.61000,59900,0.005195,0.005195
2008-01-23,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,58.96000,29083800,0.073366,0.073366
2008-01-23,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.55000,24500,0.014939,0.014939
2008-01-22,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.38000,51400,-0.009483,-0.018966
2008-01-22,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,54.93000,24831300,0.031549,0.031549
2008-01-18,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,53.25000,25016900,-0.025796,-0.025796
2008-01-18,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.60000,63300,-0.013605,-0.013605
2008-01-17,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.76000,58500,0.000851,0.000851
2008-01-17,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,54.66000,23158100,-0.058560,-0.058560
2008-01-16,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.75000,30500,0.005133,0.005133
